name,price,rating,specifications,ratings_count,reviews_count
realme 80 cm (32 inch) HD Ready LED Smart Android TV,15999.0,4.3,"['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'HD Ready 1366 x 768 Pixels', '24 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 2 x USB', '1 Year Domestic Warranty, 2 Years on Panel']",194766,22439
acer Frameless 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Audio,22999.0,4.4,"['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '24 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 2 x USB', 'VA', '1 Year Warranty on Product']",4827,785
Candes 60 cm (24 inch) HD Ready LED TV 2021 Edition,7469.0,4,"['Prime Video', 'HD Ready 1366 x 768 Pixels', '20 Speaker Output', '60 Hz Refresh Rate', '2 x HDMI | 2 x USB', '1 Year Candes Domestic Warranty']",36,3
acer Frameless 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio,13999.0,4.4,"['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'HD Ready 1366 x 768 Pixels', '24 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 2 x USB', 'VA', '1 Year Warranty']",4827,785
SAMSUNG Crystal 4K 108 cm (43 inch) Ultra HD (4K) LED Smart TV,32990.0,4.3,"['Netflix|Disney+Hotstar|Youtube', 'Operating System: Tizen', 'Ultra HD (4K) 3840 x 2160 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 1 x USB', '1 Year Product Warranty and 1 Year Additional on Panel']",6386,669
InnoQ Super Bright 102 cm (40 inch) Full HD LED Smart TV with With Pixel Boost Engine & Thunder Audio ...,13890.0,4,"['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android Based', 'Full HD 1920 x 1080 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '1 x HDMI | 2 x USB', 'A+ Grade Premium Dot Free Panel', '1 Year Limited Domestic Warranty']",161,40
InnoQ Frameless 80 cm (32 inch) HD Ready LED Smart TV with With Pixel Boost Engine & Thunder Audio Spe...,9490.0,4,"['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android Based', 'HD Ready 1366 x 768 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '1 x HDMI | 2 x USB', 'A+ Grade Premium Dot Free Panel', '1 Year Limited Domestic Warranty']",161,40
LG OLED A1 Series 164 cm (65 inch) OLED Ultra HD (4K) Smart TV,164990.0,4.1,"['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: WebOS', 'Ultra HD (4K) 3840 x 2160 Pixels', '20 W Speaker Output', '3 x HDMI | 2 x USB', '3 Year Complete Warranty ( Including all parts costs as Panel, Module / Main PCB etc ) (Offer valid till 30 - June - 2022)']",38,8
Candes 81 cm (32 inch) HD Ready LED Smart Android TV,9990.0,4,"['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'HD Ready 1366 x 768 Pixels', '20 Speaker Output', '50 Hz Refresh Rate', '1 x HDMI | 2 x USB', '1 Year Candes Domestic Warranty']",418,79
OnePlus Y1 80 cm (32 inch) HD Ready LED Smart Android TV,14999.0,4.3,"['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'HD Ready 1366 x 768 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '2 x HDMI | 2 x USB', 'LED', '1 Year Comprehensive Warranty and Additional 1 Year on Panel Provided By the Manufacturer From Date of Purchase']",93244,8458
SAMSUNG 80 cm (32 inch) HD Ready LED Smart TV,15999.0,4.4,"['Netflix|Disney+Hotstar|Youtube', 'Operating System: Tizen', 'HD Ready 1366 x 768 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '2 x HDMI | 1 x USB', '1 Year Comprehensive Warranty on Product and 1 Year Additional warranty on Panel']",52954,4755
Mi 4A Horizon Edition 100 cm (40 inch) Full HD LED Smart Android TV,21999.0,4.3,"['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'Full HD 1920 x 1080 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 2 x USB', '1 Year Warranty and 2 Years For Panel']",34403,3011
OnePlus Y1 100 cm (40 inch) Full HD LED Smart Android TV,21999.0,4.3,"['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'Full HD 1920 x 1080 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '2 x HDMI | 2 x USB', 'LED', '1 Year Warranty on Product and 1 Year Additional Warranty for Panel']",93244,8458
OnePlus Y1S 80 cm (32 inch) HD Ready LED Smart Android TV,16499.0,4.3,"['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'HD Ready 1366 x 768 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '2 x HDMI | 2 x USB', 'LED', '1 Year Comprehensive Warranty and Additional 1 Year on Panel Provided By the Manufacturer From Date of Purchase']",4038,390
LG OLED A1 Series 139 cm (55 inch) OLED Ultra HD (4K) Smart TV,99999.0,4.1,"['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: WebOS', 'Ultra HD (4K) 3840 x 2160 Pixels', '20 W Speaker Output', '3 x HDMI | 2 x USB', '3 Year Complete Warranty ( Including all parts costs as Panel, Module / Main PCB etc ) (Offer valid till 30 - June - 2022)']",38,8
LG 80 cm (32 inch) HD Ready LED Smart TV,16999.0,4.4,"['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: WebOS', 'HD Ready 1366 x 768 Pixels', '10 W Speaker Output', '50 Hz Refresh Rate', '2 x HDMI | 1 x USB', 'NA', '1 Year LG India Comprehensive Warranty and Additional 1 Year Warranty is Applicable on Panel/Module']",38423,3399
LG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,32990.0,4.4,"['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: WebOS', 'Ultra HD (4K) 3840 x 2160 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '2 x HDMI | 1 x USB', '1 Year Comprehensive Warranty and Additional 1 Year Warranty is Applicable on Panel only. (Offer valid till 30 - June - 2022)']",5347,630
OnePlus Y1S 108 cm (43 inch) Full HD LED Smart Android TV,25999.0,4.3,"['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'Full HD 1920 x 1080 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '2 x HDMI | 2 x USB', 'LED', '1 Year Comprehensive Warranty and Additional 1 Year on Panel Provided By the Manufacturer From Date of Purchase']",4038,390
LG OLED A1 Series 121 cm (48 inch) OLED Ultra HD (4K) Smart TV,74990.0,4.1,"['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: WebOS', 'Ultra HD (4K) 3840 x 2160 Pixels', '20 W Speaker Output', '3 x HDMI | 2 x USB', '3 Year Complete Warranty ( Including all parts costs as Panel, Module / Main PCB etc ) (Offer valid till 30 - June - 2022)']",38,8
MarQ By Flipkart 80 cm (32 inch) HD Ready LED TV,8999.0,4.2,"['HD Ready 1366 X 768 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '2 x HDMI | 2 x USB', '1 Year Warranty on Product']",5795,705
OnePlus Y1 108 cm (43 inch) Full HD LED Smart Android TV,24999.0,4.3,"['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'Full HD 1920 x 1080 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '2 x HDMI | 2 x USB', 'LED', '1 Year Comprehensive Warranty and Additional 1 Year on Panel Provided By the Manufacturer From Date of Purchase']",93244,8458
Mi 5X 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,31999.0,4.3,"['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '30 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 2 x USB', '1 Year Warranty and 2 Years for Panel']",28172,2541
Candes 60 cm (24 inch) HD Ready LED TV 2021 Edition,7469.0,4,"['Prime Video', 'HD Ready 1366 x 768 Pixels', '20 Speaker Output', '60 Hz Refresh Rate', '2 x HDMI | 2 x USB', '1 Year Candes Domestic Warranty']",36,3
Xiaomi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),15499.0,4.3,"['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'HD Ready 1366 x 768 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '2 x HDMI | 2 x USB', '1 Year Warranty on Product and 2 Years for Panel']",1677,174
